name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
"004-178829-ARTSomerville- Isaac Albeniz- Sevilla, Sevillanas _Suite Espanola Op.47_80",7435,0.04198794157608696,0.23439732,-21.232752,-410.5841,167.6519,2.1908855,5.911767,-12.833558,-11.585176,-18.305931,-13.479215,-15.450603,-19.782797,-20.807096,-20.887375,-17.736404,-12.798202,-15.93541,-11.741637,0.43127373,7.252584,2.0633037,-8.229223
009-285485-Alberto Bologni-Quintet Op. 111 - 2. Adagio90,12046,0.06804376132246377,0.23692396,-20.223183,-409.06525,134.31387,-30.57379,33.072365,-8.924332,-8.049103,-20.444443,-10.752267,-14.114909,-2.32949,-12.187577,-3.556272,-4.5623846,-2.4499226,-11.493073,0.8520078,-3.7599957,-0.49094447,-16.267773,-13.680391
"001-1437148-Madi - Composer-J.S.Bach The Well-Tempered Clavier. Prelude 1, I Book100",5464,0.030857959692028987,0.25754824,-12.772385,-488.63492,244.31082,80.099686,-4.0260515,-6.618481,-2.2987642,-9.166084,-11.554918,-11.551613,-11.786128,-6.7855797,-0.6512628,-0.35259527,-3.5676906,-5.509916,-6.3859897,-7.0935516,-6.5753484,-2.4837701,5.1844554
Octana_-_Christian_Petermann10,8676,0.049000792572463765,0.33325857,-1.89557,-216.98628,131.11237,17.221855,41.195236,2.0019078,13.542198,-8.870856,11.530774,-0.35909665,1.2901133,-14.6073265,1.6817436,-9.81569,-1.0418359,-11.777397,1.3120915,-9.382867,6.0518374,2.5900729,5.3997555
Street_cabaret_-_Christian_Petermann20,9231,0.05206634963768116,0.271655,-6.8586874,-237.43031,149.70935,0.35709,27.591911,-4.939896,7.25998,-14.791196,-4.9456587,-10.912005,-8.399878,-11.178258,1.3682282,-10.78933,-2.4899175,-9.063113,-2.5617714,-3.8950193,3.5814857,-5.5257454,-0.11968847
What_Is_Love_-_melanieungar30,20947,0.11825464221014492,0.3222784,-2.4362578,-124.00992,99.24959,-18.605799,17.175922,-11.3908205,7.83415,-7.9980454,-2.0241878,-5.2738276,6.3695245,-10.397433,6.4121885,-9.276053,3.5785968,-4.2593937,3.9680393,-4.58992,6.2046776,-4.670189,2.977742
Medicine_-_Kevin_Milner_and_Piero_Peluche40,11589,0.06545233242753623,0.3687768,1.0193143,-164.1134,117.77368,-5.6970444,25.037964,4.844902,12.043149,1.8185781,16.294804,-1.969643,7.629022,-1.936116,9.795824,4.586647,11.399259,-5.500792,0.9047989,-8.337805,3.2235246,-7.9046664,0.49360162
The_corn_road_-_Bob_Rocket_music_(2)50,9889,0.055785778985507246,0.41095117,-5.922088,-214.56313,148.2859,-11.709116,26.353271,0.9642386,6.5925374,-3.714056,1.4085553,-13.160988,-5.8044076,-9.252329,3.3606715,-4.7585845,1.826081,-13.17612,-2.711696,-12.722196,-1.345911,-12.159687,-2.1548057
Come_Back_Home_-_Anna_Craig (1)60,14961,0.08437216938405798,0.32123944,3.4869688,-139.08337,104.36564,-5.5549374,33.823868,11.366061,22.073793,6.336857,11.733636,0.38178375,9.792528,-7.1809254,11.152938,-11.460725,4.9976153,-8.926912,6.244429,1.0047237,11.877076,-2.6323855,9.427688
Lonesome_Highway_Jig_-_Tony_Petersen70,14408,0.0812698143115942,0.32750493,-6.9856644,-355.1974,97.539604,5.0057797,36.849613,6.7795043,26.302746,16.382113,24.454296,-2.404739,8.367074,-5.940604,1.567791,-6.3675594,7.715922,-0.21262904,4.3920712,-2.8582227,3.2625184,-7.6082535,2.2570758
DJ_Alvin_-_Western_Country_-_Alvin_Production80,15054,0.08489017210144928,0.4573482,1.1636556,-152.86362,110.78672,-1.5403495,20.76917,-1.0455539,23.447622,-2.0063164,14.069415,0.45485336,13.481679,-2.0228107,10.483281,-6.3739767,9.118782,-2.0359607,7.550162,-8.261066,2.0481825,-11.123211,-1.6638942
Ballyhoo_-_Barefoot_McCoy90,11835,0.06686339447463768,0.26394227,-11.605988,-240.123,121.40755,9.407197,11.3252945,-5.5447364,4.2556014,-11.231074,-4.6559305,-22.550392,-0.76470053,-21.321674,-4.7162056,-15.047776,-6.583354,-10.63582,-5.3810906,-19.312456,2.417325,-12.522975,-0.54153144
